Date,Counter,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,no25,no25_troughs,no25_peaks,no25_momentum,no25_momentum_troughs,no25_momentum_peaks,no200,no200_troughs,no200_peaks,no200_momentum,no200_momentum_troughs,no200_momentum_peaks,all4,all4_troughs,all4_peaks,all4_momentum,all4_momentum_troughs,all4_momentum_peaks,all4_no25,no200_no25,all4_no200,life_moment,life_moment_troughs,life_moment_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,macd_short,macd_long,MACD,smooth_macd,MACD_signal,macd_distance,last_macd_distance,macd_troughs,macd_peaks,macd_dist_troughs,macd_dist_peaks,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,smooth_rsi,last_rsi,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,smooth_slowK,smooth_slowD,slow_troughs,slow_peaks,ATR,smooth_atr,atr_troughs,atr_peaks,bull_start,bull,bull_retrace,bull_recovery,bull_end,bear_start,bear,bear_retrace,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,atr_p1,atr_p2,atr_p3,atr_t1,atr_t2,atr_t3,atr_p1_date,atr_p2_date,atr_p3_date,atr_t1_date,atr_t2_date,atr_t3_date,no25_p1,no25_p2,no25_p3,no25_t1,no25_t2,no25_t3,no25_p1_date,no25_p2_date,no25_p3_date,no25_t1_date,no25_t2_date,no25_t3_date,no200_p1,no200_p2,no200_p3,no200_t1,no200_t2,no200_t3,no200_p1_date,no200_p2_date,no200_p3_date,no200_t1_date,no200_t2_date,no200_t3_date,all4_p1,all4_p2,all4_p3,all4_t1,all4_t2,all4_t3,all4_p1_date,all4_p2_date,all4_p3_date,all4_t1_date,all4_t2_date,all4_t3_date,no25_momentum_p1,no25_momentum_p2,no25_momentum_p3,no25_momentum_t1,no25_momentum_t2,no25_momentum_t3,no25_momentum_p1_date,no25_momentum_p2_date,no25_momentum_p3_date,no25_momentum_t1_date,no25_momentum_t2_date,no25_momentum_t3_date,no200_momentum_p1,no200_momentum_p2,no200_momentum_p3,no200_momentum_t1,no200_momentum_t2,no200_momentum_t3,no200_momentum_p1_date,no200_momentum_p2_date,no200_momentum_p3_date,no200_momentum_t1_date,no200_momentum_t2_date,no200_momentum_t3_date,all4_momentum_p1,all4_momentum_p2,all4_momentum_p3,all4_momentum_t1,all4_momentum_t2,all4_momentum_t3,all4_momentum_p1_date,all4_momentum_p2_date,all4_momentum_p3_date,all4_momentum_t1_date,all4_momentum_t2_date,all4_momentum_t3_date,life_moment_p1,life_moment_p2,life_moment_p3,life_moment_t1,life_moment_t2,life_moment_t3,life_moment_p1_date,life_moment_p2_date,life_moment_p3_date,life_moment_t1_date,life_moment_t2_date,life_moment_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_dist_p1,macd_dist_p2,macd_dist_p3,macd_dist_t1,macd_dist_t2,macd_dist_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_dist_p1_date,macd_dist_p2_date,macd_dist_p3_date,macd_dist_t1_date,macd_dist_t2_date,macd_dist_t3_date,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,vol_n2p,vol_p2p,vol_p2n,vol_n2n,life5,life4,life3,life2,life1,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,buy_call,sell_call
2021-07-15,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.8876,,,,,0.8858,0.8858,0.8858,0.8858,-0.0,,,,,,0.0,,,,,,-0.0,,,,,,-0.0,0.0,-0.0,,,,0.83,-2.91,5.29,-4.48,0.69,,,,4.0,9.0,26.0,18.0,9.0,,,,0.8858,0.8858,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,0.123,,,,,,,,-0.15,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,61827100,0.0,0.0,6182710000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,,,,,,
2021-07-16,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.89092,,,,0.906,0.88732,0.88657,0.88619,0.886,0.00012,,,,,,0.00016,,,,,,0.00021,,,,,,9e-05,4e-05,5e-05,,,,0.46,-2.91,5.29,-4.48,0.69,,,,3.0,9.0,26.0,18.0,9.0,,,,0.88883,0.88726,0.00157,1e-05,0.00012,-0.00011,0.0,,,,,0.0197,0.0,,,,,,,,,,,,,,,,,,,,0.11597,0.11897,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.906,0.0,0.0,0.0,0.0,0.0,2021-07-16,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,61827100,3442600,0.0,6182710000.0,5.57,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,-17081300.0,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,,,,,,,
2021-07-19,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.89341,,,0.896,,0.88795,0.88693,0.88638,0.88609,0.00023,,,,,,0.00031,,,,,,0.0004,,,,,,0.00017,8e-05,9e-05,,,,0.18,-2.91,5.29,-4.48,0.69,,,,2.0,9.0,26.0,18.0,9.0,,,,0.88987,0.88788,0.002,2e-05,0.00023,-0.00021,-0.00011,,0.0,,,-0.0,-0.0099,,,,,,,,,,,,,,,,,,,,0.1119,0.11495,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.906,0.0,0.0,0.896,0.0,0.0,2021-07-16,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,61827100,3442600,17081300,6182710000.0,5.57,26.17,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.00023,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8235,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,6996600.0,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,,,,,p2p,,
2021-07-21,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.89461,,0.895,,,0.88893,0.88746,0.88666,0.88624,0.00033,,,,,,0.00043,,,,,,0.00055,,,,,,0.00022,0.0001,0.00012,,,,-2.86,5.29,-4.48,0.69,,,,,9.0,26.0,18.0,9.0,,,,,0.89152,0.88882,0.0027,-0.0,0.00031,-0.00031,-0.00021,,,,,0.005,0.0,,,,,,,,,,,,,,,,,,,,0.10567,0.11095,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.906,0.0,0.0,0.896,0.0,0.0,2021-07-16,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,3442600,17081300,6996600,5.57,26.17,-66.58,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.00023,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8235,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,,,,p2p,p2n,,
2021-07-22,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.89435,,,,0.91,0.89058,0.88836,0.88713,0.88648,0.00039,,,,,,0.0005,,,,,,0.00065,,,,,,0.00026,0.0001,0.00015,,,,-2.83,5.29,-4.48,0.69,,,,,8.0,26.0,18.0,9.0,,,,,0.89443,0.89042,0.00401,-5e-05,0.00035,-0.00041,-0.00031,,,,,0.0098,0.0,,,,,,,,,,,,,,,,,,,,0.09952,0.10698,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.91,0.906,0.0,0.896,0.0,0.0,2021-07-22,2021-07-16,1999-01-01,2021-07-19,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,17081300,6996600,3288100,26.17,-66.58,-0.56,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.00023,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8235,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,-2881400.0,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,,,p2p,p2n,,,
2021-07-23,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.89262,,,,,0.89135,0.88884,0.88739,0.88662,0.00043,,0.0,,,,0.00051,,0.001,,,,0.00068,,0.001,,,,0.00025,9e-05,0.00017,,,,-2.65,5.29,-4.48,0.69,,,,,7.0,26.0,18.0,9.0,,,,,0.89538,0.89117,0.0042,-0.00014,0.00036,-0.0005,-0.00041,,,,,-0.0,-0.0098,,,,,,,,,,,,,,,,,,,,0.09347,0.10305,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.91,0.906,0.0,0.896,0.0,0.0,2021-07-22,2021-07-16,1999-01-01,2021-07-19,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.001,0.0,0.0,100.0,100.0,100.0,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.001,0.0,0,100.0,100.0,100,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,6996600,3288100,2881400,-66.58,-0.56,-51.89,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.00023,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8235,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,,p2p,p2n,,n2n,,
2021-07-26,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.88945,,,,,0.8913,0.88892,0.88746,0.88666,0.00043,,,,,,0.00047,,,,,,0.00064,,,,,,0.00021,4e-05,0.00017,,,,-2.3,5.29,-4.48,0.69,,,,,6.0,26.0,18.0,9.0,,,,,0.89466,0.89114,0.00352,-0.00028,0.00032,-0.0006,-0.0005,,,,,-0.0,-0.0099,,,,,,,,,,,,,,30.0,,,,,,0.08785,0.09917,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.91,0.906,0.0,0.896,0.0,0.0,2021-07-22,2021-07-16,1999-01-01,2021-07-19,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.001,0.0,0.0,100.0,100.0,100.0,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.001,0.0,0,100.0,100.0,100,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,3288100,2881400,1958700,-0.56,-51.89,-38.26,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.00023,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8235,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,p2p,p2n,,n2n,,,
2021-07-27,YENHER,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,-,0,0,0,0.88524,,,,,0.89125,0.88899,0.88752,0.8867,0.00039,,,,,,0.00037,,,,,,0.00053,,,,,,0.00014,-2e-05,0.00016,,,,-1.83,5.29,-4.48,0.69,,,,,5.0,26.0,18.0,9.0,,,,,0.89405,0.8911,0.00294,-0.00045,0.00024,-0.00068,-0.0006,,,,,0.0,0.0,,,,,,,,,,,,,,24.9788,,,,,,0.08262,0.09536,,,,,,,0.15,,,,,,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.91,0.906,0.0,0.896,0.0,0.0,2021-07-22,2021-07-16,1999-01-01,2021-07-19,1999-01-01,1999-01-01,0.0,0,0,100.0,100,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100,100,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.001,0.0,0.0,100.0,100.0,100.0,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.001,0.0,0,100.0,100.0,100,2021-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0,100.0,100.0,100,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2881400,1958700,2795600,-51.89,-38.26,-6.06,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.00023,0.0,0.0,100.0,100.0,100.0,0.0,0,0,100.0,100,100,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2021-07-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8235,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.BullEnd,p2n,,n2n,,,,
